AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare
PHX,33.449593,-112.07132,33.435893,-112.008254,2,26
PHX,33.449593,-112.07132,33.435893,-112.008254,2,26
PHX,33.574348,-112.11662,33.435893,-112.008254,1,17
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.516701,-112.03003,33.435893,-112.008254,1,15
PHX,33.403086,-111.662773,33.435893,-112.008254,2,41
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.452292,-112.070359,33.435893,-112.008254,1,12
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.624801,-111.933007,33.435893,-112.008254,1,20
PHX,33.625796,-111.932793,33.435893,-112.008254,1,20
PHX,33.548922,-111.91534,33.435893,-112.008254,1,21
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.583504,-111.790131,33.435893,-112.008254,2,50
PHX,33.582755,-111.96057,33.435893,-112.008254,1,21
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.451666,-112.073045,33.435893,-112.008254,1,13
PHX,33.452292,-112.070359,33.435893,-112.008254,1,12
PHX,33.419537,-111.82797,33.435893,-112.008254,1,17
PHX,33.449946,-112.071984,33.435893,-112.008254,1,12
PHX,33.661677,-111.95893,33.435893,-112.008254,1,23
PHX,33.661613,-111.958925,33.435893,-112.008254,1,22
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.62296,-111.93392,33.435893,-112.008254,1,20
PHX,33.625796,-111.932793,33.435893,-112.008254,1,20
PHX,33.452136,-112.07374,33.435893,-112.008254,2,24
PHX,33.595732,-111.98569,33.435893,-112.008254,1,20
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.524305,-112.022672,33.435893,-112.008254,1,15
PHX,33.375233,-111.971407,33.435893,-112.008254,2,34
PHX,33.566811,-111.918196,33.435893,-112.008254,1,21
PHX,33.548745,-111.91569,33.435893,-112.008254,1,20
PHX,33.452292,-112.070359,33.435893,-112.008254,1,12
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.51133,-112.113512,33.435893,-112.008254,1,15
PHX,33.37782,-111.96313,33.435893,-112.008254,1,15
PHX,33.305457,-111.90359,33.435893,-112.008254,1,21
PHX,33.292133,-111.7545,33.435893,-112.008254,1,24
PHX,33.37782,-111.96313,33.435893,-112.008254,1,15
PHX,33.49681,-111.92484,33.435893,-112.008254,4,60
PHX,33.49681,-111.92484,33.435893,-112.008254,3,45
PHX,33.49681,-111.92484,33.435893,-112.008254,4,60
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.49681,-111.92484,33.435893,-112.008254,4,60
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.447393,-112.073268,33.435893,-112.008254,1,12
PHX,33.303922,-111.842728,33.435893,-112.008254,1,20
PHX,33.64516,-111.917529,33.435893,-112.008254,1,25
PHX,33.66329,-111.95478,33.435893,-112.008254,2,46
PHX,33.644802,-111.9146,33.435893,-112.008254,1,25
PHX,33.512366,-112.114199,33.435893,-112.008254,1,14
PHX,33.683434,-111.966133,33.435893,-112.008254,1,23
PHX,33.499129,-111.92441,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.378002,-111.96311,33.435893,-112.008254,1,15
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.639224,-111.89621,33.435893,-112.008254,2,30
PHX,33.639224,-111.89621,33.435893,-112.008254,2,30
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.564377,-111.923527,33.435893,-112.008254,1,21
PHX,33.491415,-112.07905,33.435893,-112.008254,1,15
PHX,33.450383,-112.075795,33.435893,-112.008254,1,13
PHX,33.374266,-111.971726,33.435893,-112.008254,2,34
PHX,33.374266,-111.971726,33.435893,-112.008254,1,16
PHX,33.512366,-112.114199,33.435893,-112.008254,2,28
PHX,33.455387,-111.987,33.435893,-112.008254,1,15
PHX,33.625796,-111.932793,33.435893,-112.008254,1,21
PHX,33.639224,-111.89621,33.435893,-112.008254,2,35.2
PHX,33.531256,-112.265334,33.435893,-112.008254,1,17
PHX,33.304321,-111.97068,33.435893,-112.008254,1,20
PHX,33.452237,-112.070541,33.435893,-112.008254,1,13
PHX,33.540935,-111.926711,33.435893,-112.008254,1,16
PHX,33.639224,-111.89621,33.435893,-112.008254,4,72
PHX,33.632424,-112.235851,33.435893,-112.008254,1,25
PHX,33.510481,-111.92588,33.435893,-112.008254,1,17
PHX,33.639224,-111.89621,33.435893,-112.008254,2,36
PHX,33.409918,-112.03109,33.435893,-112.008254,1,11
PHX,33.614207,-111.893353,33.435893,-112.008254,1,19
PHX,33.538605,-111.86971,33.435893,-112.008254,1,21
PHX,33.291406,-111.752802,33.435893,-112.008254,1,29
PHX,33.538605,-111.86971,33.435893,-112.008254,1,21
PHX,33.538605,-111.86971,33.435893,-112.008254,1,21
PHX,33.510481,-111.92588,33.435893,-112.008254,1,17
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.510481,-111.92588,33.435893,-112.008254,1,17
PHX,33.408114,-111.68446,33.435893,-112.008254,1,21
PHX,33.530945,-111.97211,33.435893,-112.008254,1,17
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.415446,-111.72325,33.435893,-112.008254,2,37
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.621441,-111.937781,33.435893,-112.008254,2,42
PHX,33.62296,-111.93392,33.435893,-112.008254,1,21
PHX,33.526611,-111.92785,33.435893,-112.008254,1,17
PHX,33.459384,-112.34202,33.435893,-112.008254,2,50
PHX,33.511077,-112.024948,33.435893,-112.008254,1,15
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.510086,-111.924936,33.435893,-112.008254,1,17
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.449593,-112.07132,33.435893,-112.008254,2,26
PHX,33.350044,-111.974612,33.435893,-112.008254,1,17
PHX,33.534114,-111.964402,33.435893,-112.008254,1,17
PHX,33.449824,-112.071894,33.435893,-112.008254,1,13
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.644802,-111.9146,33.435893,-112.008254,1,25
PHX,33.595732,-111.98569,33.435893,-112.008254,1,21
PHX,33.647781,-111.91112,33.435893,-112.008254,2,38
PHX,33.46593,-112.15834,33.435893,-112.008254,1,16
PHX,33.5122,-111.8915,33.435893,-112.008254,1,17
PHX,33.5122,-111.8915,33.435893,-112.008254,1,17
PHX,33.607978,-111.92597,33.435893,-112.008254,1,21
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.449593,-112.07132,33.435893,-112.008254,2,26
PHX,33.3881,-111.85361,33.435893,-112.008254,1,17
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.452292,-112.070359,33.435893,-112.008254,4,52
PHX,33.548098,-111.91671,33.435893,-112.008254,1,21
PHX,33.505765,-112.03213,33.435893,-112.008254,1,15
PHX,33.516701,-112.03003,33.435893,-112.008254,1,15
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.387685,-111.78817,33.435893,-112.008254,2,42
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.375233,-111.971407,33.435893,-112.008254,1,17
PHX,33.548567,-111.916362,33.435893,-112.008254,1,20
PHX,33.625064,-111.933618,33.435893,-112.008254,3,63
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.625796,-111.932793,33.435893,-112.008254,1,20
PHX,33.449946,-112.071984,33.435893,-112.008254,3,39
PHX,33.566803,-111.92161,33.435893,-112.008254,1,20
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.525269,-112.023142,33.435893,-112.008254,1,14
PHX,33.645159,-111.917536,33.435893,-112.008254,1,25
PHX,33.532799,-112.263446,33.435893,-112.008254,1,24
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.516701,-112.03003,33.435893,-112.008254,1,15
PHX,33.449946,-112.071984,33.435893,-112.008254,3,36
PHX,33.6813,-111.9662,33.435893,-112.008254,1,23
PHX,33.512365,-112.11689,33.435893,-112.008254,2,30
PHX,33.516701,-112.03003,33.435893,-112.008254,1,15
PHX,33.378406,-111.96357,33.435893,-112.008254,1,15
PHX,33.637686,-111.896871,33.435893,-112.008254,1,25
PHX,33.522442,-112.02228,33.435893,-112.008254,1,14
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.516701,-112.03003,33.435893,-112.008254,1,15
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.644802,-111.9146,33.435893,-112.008254,1,25
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.350044,-111.974612,33.435893,-112.008254,1,17
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.639224,-111.89621,33.435893,-112.008254,1,24
PHX,33.333629,-111.970239,33.435893,-112.008254,1,17
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.524305,-112.022672,33.435893,-112.008254,2,30
PHX,33.568564,-112.115408,33.435893,-112.008254,1,17
PHX,33.645159,-111.917536,33.435893,-112.008254,1,25
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.683434,-111.966133,33.435893,-112.008254,1,23
PHX,33.660221,-112.37813,33.435893,-112.008254,1,32
PHX,33.492289,-112.07529,33.435893,-112.008254,1,15
PHX,33.494822,-111.92322,33.435893,-112.008254,2,30
PHX,33.49681,-111.92484,33.435893,-112.008254,3,45
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.683434,-111.966133,33.435893,-112.008254,1,23
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.49681,-111.92484,33.435893,-112.008254,4,60
PHX,33.449946,-112.071984,33.435893,-112.008254,1,12
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.575386,-111.926619,33.435893,-112.008254,4,84
PHX,33.49681,-111.92484,33.435893,-112.008254,2,30
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.376212,-111.96213,33.435893,-112.008254,1,15
PHX,33.572168,-112.115979,33.435893,-112.008254,1,16
PHX,33.625064,-111.933618,33.435893,-112.008254,1,21
PHX,33.637048,-112.236807,33.435893,-112.008254,1,25
PHX,33.637686,-111.896871,33.435893,-112.008254,1,25
PHX,33.645159,-111.917536,33.435893,-112.008254,1,25
PHX,33.447393,-112.073268,33.435893,-112.008254,1,13
PHX,33.522442,-112.02228,33.435893,-112.008254,1,15
PHX,33.447393,-112.073268,33.435893,-112.008254,1,13
PHX,33.625796,-111.932793,33.435893,-112.008254,1,20
PHX,33.639224,-111.89621,33.435893,-112.008254,1,15
PHX,33.513855,-111.890138,33.435893,-112.008254,1,16
PHX,33.639224,-111.89621,33.435893,-112.008254,2,30
PHX,33.639224,-111.89621,33.435893,-112.008254,2,30
