,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
126,PHX,33.639224,-111.89621,33.435893,-112.008254,2,30.0,20.4878840566
127,PHX,33.378056,-111.97056,33.435893,-112.008254,1,15.0,6.16314720847
128,PHX,33.374266,-111.971726,33.435893,-112.008254,3,51.0,6.35757955424
129,PHX,33.415693,-111.79293,33.435893,-112.008254,1,20.0,13.7966632036
130,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
131,PHX,33.707012,-112.113371,33.435893,-112.008254,1,30.0,24.7677469824
132,PHX,33.54175,-112.2596,33.435893,-112.008254,3,69.0,21.7836905033
133,PHX,33.449593,-112.07132,33.435893,-112.008254,1,12.0,4.57813076474
134,PHX,33.375233,-111.971407,33.435893,-112.008254,1,17.0,6.30920951216
135,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
136,PHX,33.596778,-112.064907,33.435893,-112.008254,1,16.0,14.3677241022
137,PHX,33.541244,-112.261101,33.435893,-112.008254,1,24.0,21.8352213483
138,PHX,33.639224,-111.89621,33.435893,-112.008254,1,15.0,20.4878840566
139,PHX,33.414219,-111.895818,33.435893,-112.008254,1,13.0,7.97216795225
140,PHX,33.629356,-111.938205,33.435893,-112.008254,1,28.0,17.387911402
141,PHX,33.639224,-111.89621,33.435893,-112.008254,1,15.0,20.4878840566
142,PHX,33.49681,-111.92484,33.435893,-112.008254,3,51.0,9.00915582912
143,PHX,33.6813,-111.9662,33.435893,-112.008254,1,23.0,19.3606992229
144,PHX,33.419859,-111.828731,33.435893,-112.008254,1,17.0,11.4470211703
145,PHX,33.638737,-111.922914,33.435893,-112.008254,1,25.0,18.9161496681
146,PHX,33.614161,-111.893,33.435893,-112.008254,1,20.0,18.9428828736
147,PHX,33.51066,-112.0251,33.435893,-112.008254,1,15.0,6.13086465449
148,PHX,33.625796,-111.932793,33.435893,-112.008254,1,21.0,17.4539189705
149,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
150,PHX,33.62296,-111.93392,33.435893,-112.008254,1,21.0,17.1932591659
151,PHX,33.639224,-111.89621,33.435893,-112.008254,3,54.0,20.4878840566
152,PHX,33.639224,-111.89621,33.435893,-112.008254,1,25.0,20.4878840566
153,PHX,33.510481,-111.92588,33.435893,-112.008254,1,17.0,9.89285014035
154,PHX,33.639224,-111.89621,33.435893,-112.008254,5,90.0,20.4878840566
155,PHX,33.578967,-112.119713,33.435893,-112.008254,1,17.0,16.295141525
156,PHX,33.625796,-111.932793,33.435893,-112.008254,1,21.0,17.4539189705
157,PHX,33.625796,-111.932793,33.435893,-112.008254,1,21.0,17.4539189705
158,PHX,33.492814,-111.93356,33.435893,-112.008254,1,17.0,8.23108233371
159,PHX,33.623836,-112.18556,33.435893,-112.008254,1,28.0,23.1847947315
